PW,PL,SW,SL,Type
2,14,33,50,0
24,56,31,67,1
23,51,31,69,1
2,10,36,46,0
20,52,30,65,1
19,51,27,58,1
13,45,28,57,2
16,47,33,63,2
17,45,25,49,1
14,47,32,70,2
2,16,31,48,0
19,50,25,63,1
1,14,36,49,0
2,13,32,44,0
12,40,26,58,2
18,49,27,63,1
10,33,23,50,2
2,16,38,51,0
2,16,30,50,0
21,56,28,64,1
4,19,38,51,0
2,14,30,49,0
10,41,27,58,2
15,45,29,60,2
2,14,36,50,0
19,51,27,58,1
4,15,34,54,0
18,55,31,64,1
10,33,24,49,2
2,14,42,55,0
15,50,22,60,1
14,39,27,52,2
2,14,29,44,0
12,39,27,58,2
23,57,32,69,1
15,42,30,59,2
20,49,28,56,1
18,58,25,67,1
13,44,23,63,2
15,49,25,63,2
11,30,25,51,2
21,54,31,69,1
25,61,36,72,1
13,36,29,56,2
21,55,30,68,1
1,14,30,48,0
3,17,38,57,0
14,44,30,66,2
4,15,37,51,0
17,50,30,67,2
22,56,28,64,1
15,51,28,63,1
15,45,22,62,2
14,46,30,61,2
11,39,25,56,2
23,59,32,68,1
23,54,34,62,1
25,57,33,67,1
2,13,35,55,0
15,45,32,64,2
18,51,30,59,1
23,53,32,64,1
15,45,30,54,2
21,57,33,67,1
2,13,30,44,0
2,16,32,47,0
18,60,32,72,1
18,49,30,61,1
2,12,32,50,0
1,11,30,43,0
14,44,31,67,2
2,14,35,51,0
4,16,34,50,0
10,35,26,57,2
23,61,30,77,1
13,42,26,57,2
1,15,41,52,0
18,48,30,60,1
13,42,27,56,2
2,15,31,49,0
4,17,39,54,0
16,45,34,60,2
10,35,20,50,2
2,13,32,47,0
13,54,29,62,2
2,15,34,51,0
10,50,22,60,2
1,15,31,49,0
2,15,37,54,0
12,47,28,61,2
13,41,28,57,2
4,13,39,54,0
20,51,32,65,1
15,49,31,69,2
13,40,25,55,2
3,13,23,45,0
3,15,38,51,0
14,48,28,68,2
2,15,35,52,0
25,60,33,63,1
15,46,28,65,2
3,14,34,46,0
18,48,32,59,2
16,51,27,60,2
18,55,30,65,1
5,17,33,51,0
22,67,38,77,1
21,66,30,76,1
13,52,30,67,1
13,40,28,61,2
11,38,24,55,2
2,14,34,52,0
20,64,38,79,1
6,16,35,50,0
20,67,28,77,1
12,44,26,55,2
3,14,30,48,0
2,19,34,48,0
14,56,26,61,1
2,12,40,58,0
18,48,28,62,1
15,45,30,56,2
2,14,32,46,0
4,15,44,57,0
24,56,34,63,1
16,58,30,72,1
21,59,30,71,1
18,56,29,63,1
12,42,30,57,2
23,69,26,77,1
13,56,29,66,2
2,15,34,52,0
10,37,24,55,2
2,15,31,46,0
19,61,28,74,1
3,13,35,50,0
18,63,29,73,1
15,47,31,67,2
13,41,30,56,2
13,43,29,64,2
22,58,30,65,1
3,14,35,51,0
14,47,29,61,2
19,53,27,64,1
2,16,34,48,0
20,50,25,57,1
13,40,23,55,2
2,17,34,54,0
24,51,28,58,1
2,15,37,53,0
